Vector(Upload: 8.79 Mbit/s, Download: 92.98 Mbit/s, Sun Mar  8 12:08:55 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by STC (Hong Kong) [1.06 km]: 9.483 ms)
Vector(Upload: 3.18 Mbit/s, Download: 6.53 Mbit/s, Sun Mar  8 12:09:46 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 329.307 ms)
Vector(Upload: 6.41 Mbit/s, Download: 7.86 Mbit/s, Sun Mar  8 12:11:05 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Optimum Online (New York City, NY) [12959.46 km]: 318.709 ms)
Vector(Upload: 0.70 Mbit/s, Download: 1.12 Mbit/s, Sun Mar  8 12:42:59 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by CMCC-SZ (Shenzhen) [27.85 km]: 6800.185 ms)
Vector(Upload: 47.67 Mbit/s, Download: 66.41 Mbit/s, Sun Mar  8 12:44:49 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Taiwan Star Telecom Co., Ltd. (New Taipei) [802.48 km]: 33.19 ms)
Vector(Upload: 6.10 Mbit/s, Download: 14.46 Mbit/s, Sun Mar  8 12:45:43 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Northwestel Inc. (Whitehorse, YT) [8919.13 km]: 301.754 ms)
Vector(Upload: 8.74 Mbit/s, Download: 52.98 Mbit/s, Sun Mar  8 13:17:15 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Australian Private Networks (Sydney) [7372.57 km]: 282.535 ms)
Vector(Upload: 2.08 Mbit/s, Download: 4.11 Mbit/s, Sun Mar  8 13:19:17 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by FPT Telecom (Hong Kong) [1.06 km]: 511.671 ms)
Vector(Upload: 4.81 Mbit/s, Download: 3.73 Mbit/s, Sun Mar  8 13:20:59 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by TreudlerGroup UK (London) [9625.15 km]: 320.29 ms)
Vector(Upload: 3.59 Mbit/s, Download: 3.49 Mbit/s, Sun Mar  8 13:22:44 HKT 2015, Testing from Hong Kong Broadband Network Ltd (210.6.165.29)..., Hosted by Optimum Online (New York City, NY) [12959.46 km]: 321.811 ms)
